policy,max_size,clean_size,repeat,step,cluster,prompt,hit,llm_time_s,total_time_s,miss_reason,cache_size
LFU,16,4,1,20,1,Hello there!,,,0.08301877975463867,,
LFU,16,4,1,21,1,Hey!,,,0.07117176055908203,,
LFU,16,4,1,22,1,Howdy,,,0.06746864318847656,,
LFU,16,4,1,23,2,Best footballer in the world?,,,0.06822609901428223,,
LFU,16,4,1,24,2,Who is the top soccer player right now?,,,0.0879812240600586,,
LFU,16,4,1,25,2,Name the greatest football player today,,,0.06878542900085449,,
LFU,16,4,1,26,3,Explain quicksort in simple terms,,,0.07977151870727539,,
LFU,16,4,1,27,3,What is the capital of Japan?,,,0.10337352752685547,,
LFU,16,4,1,28,3,Summarize the concept of overfitting in ML,,,0.1254723072052002,,
LFU,16,4,2,29,0,Write me a short Python script for a basic calculator,,,0.07648968696594238,,
LFU,16,4,2,30,0,Make a simple calculator in python,,,0.08133339881896973,,
LFU,16,4,2,31,0,Create a tiny command-line calculator in Python,,,0.09743499755859375,,
LFU,16,4,2,32,0,Give me a minimal calculator example in Python,,,0.11362195014953613,,
LFU,16,4,2,33,1,Hi,,,0.05681157112121582,,
LFU,16,4,2,34,1,Hello there!,,,0.06153225898742676,,
LFU,16,4,2,35,1,Hey!,,,0.058310508728027344,,
LFU,16,4,2,36,1,Howdy,,,0.08445143699645996,,
LFU,16,4,2,37,2,Best footballer in the world?,,,0.09842443466186523,,
LFU,16,4,2,38,2,Who is the top soccer player right now?,,,0.08243823051452637,,
LFU,16,4,2,39,2,Name the greatest football player today,,,0.07727169990539551,,
LFU,16,4,2,40,3,Explain quicksort in simple terms,,,0.07895803451538086,,
LFU,16,4,2,41,3,What is the capital of Japan?,,,0.10590958595275879,,
LFU,16,4,2,42,3,Summarize the concept of overfitting in ML,,,0.13151955604553223,,
LFU,32,8,0,1,0,Write me a short Python script for a basic calculator,,,99.79096364974976,,
LFU,32,8,0,2,0,Make a simple calculator in python,,,0.08686566352844238,,
LFU,32,8,0,3,0,Create a tiny command-line calculator in Python,,,0.09223055839538574,,
LFU,32,8,0,4,0,Give me a minimal calculator example in Python,,,0.11674833297729492,,
LFU,32,8,0,5,1,Hi,,,2.269124984741211,,
LFU,32,8,0,6,1,Hello there!,,,0.048422813415527344,,
LFU,32,8,0,7,1,Hey!,,,0.06949329376220703,,
LFU,32,8,0,8,1,Howdy,,,3.321234941482544,,
LFU,32,8,0,9,2,Best footballer in the world?,,,90.58427953720093,,
LFU,32,8,0,10,2,Who is the top soccer player right now?,,,2.1508381366729736,,
LFU,32,8,0,11,2,Name the greatest football player today,,,0.07190203666687012,,
LFU,32,8,0,12,3,Explain quicksort in simple terms,,,120.74441862106323,,
LFU,32,8,0,13,3,What is the capital of Japan?,,,3.6249682903289795,,
LFU,32,8,0,14,3,Summarize the concept of overfitting in ML,,,95.63451337814331,,
LFU,32,8,1,15,0,Write me a short Python script for a basic calculator,,,2.144745111465454,,
LFU,32,8,1,16,0,Make a simple calculator in python,,,0.11090230941772461,,
LFU,32,8,1,17,0,Create a tiny command-line calculator in Python,,,0.11044597625732422,,
LFU,32,8,1,18,0,Give me a minimal calculator example in Python,,,0.11959576606750488,,
LFU,32,8,1,19,1,Hi,,,0.06282997131347656,,
LFU,32,8,1,20,1,Hello there!,,,0.08075261116027832,,
LFU,32,8,1,21,1,Hey!,,,0.07685351371765137,,
LFU,32,8,1,22,1,Howdy,,,0.08915829658508301,,
LFU,32,8,1,23,2,Best footballer in the world?,,,0.07157588005065918,,
LFU,32,8,1,24,2,Who is the top soccer player right now?,,,0.0731201171875,,
LFU,32,8,1,25,2,Name the greatest football player today,,,0.0672447681427002,,
LFU,32,8,1,26,3,Explain quicksort in simple terms,,,0.0700538158416748,,
LFU,32,8,1,27,3,What is the capital of Japan?,,,0.07043194770812988,,
LFU,32,8,1,28,3,Summarize the concept of overfitting in ML,,,0.0837857723236084,,
LFU,32,8,2,29,0,Write me a short Python script for a basic calculator,,,0.08210635185241699,,
LFU,32,8,2,30,0,Make a simple calculator in python,,,0.08252215385437012,,
LFU,32,8,2,31,0,Create a tiny command-line calculator in Python,,,0.09367561340332031,,
LFU,32,8,2,32,0,Give me a minimal calculator example in Python,,,0.09414339065551758,,
LFU,32,8,2,33,1,Hi,,,0.05790829658508301,,
LFU,32,8,2,34,1,Hello there!,,,0.06914305686950684,,
LFU,32,8,2,35,1,Hey!,,,0.06012558937072754,,
LFU,32,8,2,36,1,Howdy,,,0.0807657241821289,,
LFU,32,8,2,37,2,Best footballer in the world?,,,0.10447072982788086,,
LFU,32,8,2,38,2,Who is the top soccer player right now?,,,0.11339092254638672,,
LFU,32,8,2,39,2,Name the greatest football player today,,,0.11098480224609375,,
LFU,32,8,2,40,3,Explain quicksort in simple terms,,,0.08025884628295898,,
LFU,32,8,2,41,3,What is the capital of Japan?,,,0.08098721504211426,,
LFU,32,8,2,42,3,Summarize the concept of overfitting in ML,,,0.13236045837402344,,
LRU,8,2,0,1,0,Write me a short Python script for a basic calculator,,,0.09319400787353516,,
LRU,8,2,0,2,0,Make a simple calculator in python,,,0.08657240867614746,,
LRU,8,2,0,3,0,Create a tiny command-line calculator in Python,,,0.09887027740478516,,
LRU,8,2,0,4,0,Give me a minimal calculator example in Python,,,0.11280989646911621,,
LRU,8,2,0,5,1,Hi,,,0.05886483192443848,,
LRU,8,2,0,6,1,Hello there!,,,0.09351229667663574,,
LRU,8,2,0,7,1,Hey!,,,0.07903003692626953,,
LRU,8,2,0,8,1,Howdy,,,0.0645146369934082,,
LRU,8,2,0,9,2,Best footballer in the world?,,,0.1114954948425293,,
LRU,8,2,0,10,2,Who is the top soccer player right now?,,,0.12547993659973145,,
LRU,8,2,0,11,2,Name the greatest football player today,,,0.10595583915710449,,
LRU,8,2,0,12,3,Explain quicksort in simple terms,,,0.12237954139709473,,
LRU,8,2,0,13,3,What is the capital of Japan?,,,0.1745610237121582,,
LRU,8,2,0,14,3,Summarize the concept of overfitting in ML,,,81.2292251586914,,
LRU,8,2,1,15,0,Write me a short Python script for a basic calculator,,,0.08284115791320801,,
LRU,8,2,1,16,0,Make a simple calculator in python,,,0.08726358413696289,,
LRU,8,2,1,17,0,Create a tiny command-line calculator in Python,,,0.09464836120605469,,
LRU,8,2,1,18,0,Give me a minimal calculator example in Python,,,0.12104296684265137,,
LRU,8,2,1,19,1,Hi,,,0.06652021408081055,,
LRU,8,2,1,20,1,Hello there!,,,0.08585143089294434,,
LRU,8,2,1,21,1,Hey!,,,0.07655811309814453,,
LRU,8,2,1,22,1,Howdy,,,0.06541013717651367,,
LRU,8,2,1,23,2,Best footballer in the world?,,,0.1098184585571289,,
LRU,8,2,1,24,2,Who is the top soccer player right now?,,,0.12191891670227051,,
LRU,8,2,1,25,2,Name the greatest football player today,,,0.11331295967102051,,
LRU,8,2,1,26,3,Explain quicksort in simple terms,,,0.08440804481506348,,
LRU,8,2,1,27,3,What is the capital of Japan?,,,0.08290743827819824,,
LRU,8,2,1,28,3,Summarize the concept of overfitting in ML,,,0.11930155754089355,,
LRU,8,2,2,29,0,Write me a short Python script for a basic calculator,,,0.09628915786743164,,
LRU,8,2,2,30,0,Make a simple calculator in python,,,0.08890080451965332,,
LRU,8,2,2,31,0,Create a tiny command-line calculator in Python,,,0.09263038635253906,,
LRU,8,2,2,32,0,Give me a minimal calculator example in Python,,,0.11633539199829102,,
LRU,8,2,2,33,1,Hi,,,0.07087945938110352,,
LRU,8,2,2,34,1,Hello there!,,,0.07995867729187012,,
LRU,8,2,2,35,1,Hey!,,,0.07718276977539062,,
LRU,8,2,2,36,1,Howdy,,,0.08701658248901367,,
LRU,8,2,2,37,2,Best footballer in the world?,,,0.107635498046875,,
LRU,8,2,2,38,2,Who is the top soccer player right now?,,,0.12070751190185547,,
LRU,8,2,2,39,2,Name the greatest football player today,,,0.07759356498718262,,
LRU,8,2,2,40,3,Explain quicksort in simple terms,,,0.07795381546020508,,
LRU,8,2,2,41,3,What is the capital of Japan?,,,0.10962319374084473,,
LRU,8,2,2,42,3,Summarize the concept of overfitting in ML,,,0.12498712539672852,,
LRU,16,4,0,1,0,Write me a short Python script for a basic calculator,,,0.10861730575561523,,
LRU,16,4,0,2,0,Make a simple calculator in python,,,0.06766080856323242,,
LRU,16,4,0,3,0,Create a tiny command-line calculator in Python,,,0.0934000015258789,,
LRU,16,4,0,4,0,Give me a minimal calculator example in Python,,,0.1233358383178711,,
LRU,16,4,0,5,1,Hi,,,0.056990623474121094,,
LRU,16,4,0,6,1,Hello there!,,,0.08484458923339844,,
LRU,16,4,0,7,1,Hey!,,,0.08165979385375977,,
LRU,16,4,0,8,1,Howdy,,,0.05783534049987793,,
LRU,16,4,0,9,2,Best footballer in the world?,,,0.07927060127258301,,
LRU,16,4,0,10,2,Who is the top soccer player right now?,,,0.12460088729858398,,
LRU,16,4,0,11,2,Name the greatest football player today,,,0.1074838638305664,,
LRU,16,4,0,12,3,Explain quicksort in simple terms,,,0.06784200668334961,,
LRU,16,4,0,13,3,What is the capital of Japan?,,,0.10970258712768555,,
LRU,16,4,0,14,3,Summarize the concept of overfitting in ML,,,94.14816355705261,,
LRU,16,4,1,15,0,Write me a short Python script for a basic calculator,,,2.1229333877563477,,
LRU,16,4,1,16,0,Make a simple calculator in python,,,0.07222533226013184,,
LRU,16,4,1,17,0,Create a tiny command-line calculator in Python,,,0.08324074745178223,,
LRU,16,4,1,18,0,Give me a minimal calculator example in Python,,,0.08359217643737793,,
LRU,16,4,1,19,1,Hi,,,0.049512386322021484,,
LRU,16,4,1,20,1,Hello there!,,,0.07711577415466309,,
LRU,16,4,1,21,1,Hey!,,,0.05552315711975098,,
LRU,16,4,1,22,1,Howdy,,,0.056015729904174805,,
LRU,16,4,1,23,2,Best footballer in the world?,,,0.06800532341003418,,
LRU,16,4,1,24,2,Who is the top soccer player right now?,,,0.07821321487426758,,
LRU,16,4,1,25,2,Name the greatest football player today,,,0.10166740417480469,,
LRU,16,4,1,26,3,Explain quicksort in simple terms,,,0.06210446357727051,,
LRU,16,4,1,27,3,What is the capital of Japan?,,,0.07745218276977539,,
LRU,16,4,1,28,3,Summarize the concept of overfitting in ML,,,0.116119384765625,,
LRU,16,4,2,29,0,Write me a short Python script for a basic calculator,,,0.09894061088562012,,
LRU,16,4,2,30,0,Make a simple calculator in python,,,0.06978559494018555,,
LRU,16,4,2,31,0,Create a tiny command-line calculator in Python,,,0.0755620002746582,,
LRU,16,4,2,32,0,Give me a minimal calculator example in Python,,,0.11532402038574219,,
LRU,16,4,2,33,1,Hi,,,0.0647890567779541,,
LRU,16,4,2,34,1,Hello there!,,,0.1194620132446289,,
LRU,16,4,2,35,1,Hey!,,,0.05290365219116211,,
LRU,16,4,2,36,1,Howdy,,,0.07259917259216309,,
LRU,16,4,2,37,2,Best footballer in the world?,,,0.09422183036804199,,
LRU,16,4,2,38,2,Who is the top soccer player right now?,,,0.11493110656738281,,
LRU,16,4,2,39,2,Name the greatest football player today,,,0.09992408752441406,,
LRU,16,4,2,40,3,Explain quicksort in simple terms,,,0.0765838623046875,,
LRU,16,4,2,41,3,What is the capital of Japan?,,,0.11075496673583984,,
LRU,16,4,2,42,3,Summarize the concept of overfitting in ML,,,0.13345789909362793,,
LRU,32,8,0,1,0,Write me a short Python script for a basic calculator,,,0.08495593070983887,,
LRU,32,8,0,2,0,Make a simple calculator in python,,,0.07439899444580078,,
LRU,32,8,0,3,0,Create a tiny command-line calculator in Python,,,0.0933542251586914,,
LRU,32,8,0,4,0,Give me a minimal calculator example in Python,,,0.0906670093536377,,
LRU,32,8,0,5,1,Hi,,,0.06171274185180664,,
LRU,32,8,0,6,1,Hello there!,,,0.0902109146118164,,
LRU,32,8,0,7,1,Hey!,,,0.09192991256713867,,
LRU,32,8,0,8,1,Howdy,,,0.08897161483764648,,
LRU,32,8,0,9,2,Best footballer in the world?,,,0.10795998573303223,,
LRU,32,8,0,10,2,Who is the top soccer player right now?,,,0.11560988426208496,,
LRU,32,8,0,11,2,Name the greatest football player today,,,0.10807228088378906,,
LRU,32,8,0,12,3,Explain quicksort in simple terms,,,0.07815241813659668,,
LRU,32,8,0,13,3,What is the capital of Japan?,,,0.09166812896728516,,
LRU,32,8,0,14,3,Summarize the concept of overfitting in ML,,,84.15423202514648,,
LRU,32,8,1,15,0,Write me a short Python script for a basic calculator,,,0.09146404266357422,,
LRU,32,8,1,16,0,Make a simple calculator in python,,,0.07568025588989258,,
LRU,32,8,1,17,0,Create a tiny command-line calculator in Python,,,0.08153772354125977,,
LRU,32,8,1,18,0,Give me a minimal calculator example in Python,,,0.1342182159423828,,
LRU,32,8,1,19,1,Hi,,,0.07232785224914551,,
LRU,32,8,1,20,1,Hello there!,,,0.07668495178222656,,
LRU,32,8,1,21,1,Hey!,,,0.06049036979675293,,
LRU,32,8,1,22,1,Howdy,,,0.05919075012207031,,
LRU,32,8,1,23,2,Best footballer in the world?,,,0.11451196670532227,,
LRU,32,8,1,24,2,Who is the top soccer player right now?,,,0.12150859832763672,,
LRU,32,8,1,25,2,Name the greatest football player today,,,0.10143113136291504,,
LRU,32,8,1,26,3,Explain quicksort in simple terms,,,0.07915472984313965,,
LRU,32,8,1,27,3,What is the capital of Japan?,,,0.08137726783752441,,
LRU,32,8,1,28,3,Summarize the concept of overfitting in ML,,,0.12391448020935059,,
LRU,32,8,2,29,0,Write me a short Python script for a basic calculator,,,0.1029360294342041,,
LRU,32,8,2,30,0,Make a simple calculator in python,,,0.0851140022277832,,
LRU,32,8,2,31,0,Create a tiny command-line calculator in Python,,,0.09371614456176758,,
LRU,32,8,2,32,0,Give me a minimal calculator example in Python,,,0.11945843696594238,,
LRU,32,8,2,33,1,Hi,,,0.06957840919494629,,
LRU,32,8,2,34,1,Hello there!,,,0.07817649841308594,,
LRU,32,8,2,35,1,Hey!,,,0.07878398895263672,,
LRU,32,8,2,36,1,Howdy,,,0.061981916427612305,,
LRU,32,8,2,37,2,Best footballer in the world?,,,0.07460689544677734,,
LRU,32,8,2,38,2,Who is the top soccer player right now?,,,0.08791732788085938,,
LRU,32,8,2,39,2,Name the greatest football player today,,,0.07210469245910645,,
LRU,32,8,2,40,3,Explain quicksort in simple terms,,,0.0713205337524414,,
LRU,32,8,2,41,3,What is the capital of Japan?,,,0.1168215274810791,,
LRU,32,8,2,42,3,Summarize the concept of overfitting in ML,,,0.09793591499328613,,
